#,Nome Skill,Dominio,Sottodominio,Cosa Fa,Stelle SkillsMP,Aggiornamento,Autore,Da Tenere?,Note
15,java-springboot,DEV ENGINEERING,Backend Framework,'Get best practices for developing applications with Spring Boot.',,,,,
16,kotlin-springboot,DEV ENGINEERING,Backend Framework,'Get best practices for developing applications with Spring Boot and Kotlin.',,,,,
17,microservices-patterns,DEV ENGINEERING,Backend Framework,"Design microservices architectures with service boundaries, event-driven communication, and resilience patterns. Use whe",,,,,
18,nodejs-backend-patterns,DEV ENGINEERING,Backend Framework,"Build production-ready Node.js backend services with Express/Fastify, implementing middleware patterns, error handling, ",,,,,
19,openapi-spec-generation,DEV ENGINEERING,Backend Framework,"Generate and maintain OpenAPI 3.1 specifications from code, design-first specs, and validation patterns. Use when creati",,,,,
20,openapi-to-application-code,DEV ENGINEERING,Backend Framework,"'Generate a complete, production-ready application from an OpenAPI specification'",,,,,
21,projection-patterns,DEV ENGINEERING,Backend Framework,"Build read models and projections from event streams. Use when implementing CQRS read sides, building materialized views",,,,,
22,saga-orchestration,DEV ENGINEERING,Backend Framework,Implement saga patterns for distributed transactions and cross-aggregate workflows. Use this skill when implementing dis,,,,,
23,building-native-ui,DEV ENGINEERING,Expo/React Native,"Complete guide for building beautiful apps with Expo Router. Covers fundamentals, styling, components, navigation, anima",,,,,
24,expo-api-routes,DEV ENGINEERING,Expo/React Native,Guidelines for creating API routes in Expo Router with EAS Hosting,,,,,
25,expo-cicd-workflows,DEV ENGINEERING,Expo/React Native,Helps understand and write EAS workflow YAML files for Expo projects. Use this skill when the user asks about CI/CD or w,,,,,
26,expo-deployment,DEV ENGINEERING,Expo/React Native,"Deploying Expo apps to iOS App Store, Android Play Store, web hosting, and API routes",,,,,
27,expo-dev-client,DEV ENGINEERING,Expo/React Native,Build and distribute Expo development clients locally or via TestFlight,,,,,
28,expo-module,DEV ENGINEERING,Expo/React Native,"Guide for writing Expo native modules and views using the Expo Modules API (Swift, Kotlin, TypeScript). Covers module de",,,,,
29,expo-tailwind-setup,DEV ENGINEERING,Expo/React Native,Set up Tailwind CSS v4 in Expo with react-native-css and NativeWind v5 for universal styling,,,,,
30,java-add-graalvm-native-image-support,DEV ENGINEERING,Expo/React Native,"'GraalVM Native Image expert that adds native image support to Java applications, builds the project, analyzes build err",,,,,
31,native-data-fetching,DEV ENGINEERING,Expo/React Native,"Use when implementing or debugging ANY network request, API call, or data fetching. Covers fetch API, React Query, SWR, ",,,,,
32,upgrading-expo,DEV ENGINEERING,Expo/React Native,Guidelines for upgrading Expo SDK versions and fixing dependency issues,,,,,
33,use-dom,DEV ENGINEERING,Expo/React Native,Use Expo DOM components to run web code in a webview on native and as-is on web. Migrate web code to native incrementall,,,,,
34,vercel-react-native-skills,DEV ENGINEERING,Expo/React Native,React Native and Expo best practices for building performant mobile apps. Use,,,,,
35,e2e-testing-patterns,DEV ENGINEERING,Frontend Framework,"Master end-to-end testing with Playwright and Cypress to build reliable test suites that catch bugs, improve confidence,",,,,,
36,next-best-practices,DEV ENGINEERING,Frontend Framework,"Next.js best practices - file conventions, RSC boundaries, data patterns, async APIs, metadata, error handling, route ha",,,,,
37,next-cache-components,DEV ENGINEERING,Frontend Framework,"Next.js 16 Cache Components - PPR, use cache directive, cacheLife, cacheTag, updateTag",,,,,
38,next-intl-add-language,DEV ENGINEERING,Frontend Framework,'Add new language to a Next.js + next-intl application',,,,,
39,next-upgrade,DEV ENGINEERING,Frontend Framework,Upgrade Next.js to the latest version following official migration guides and codemods,,,,,
40,nextjs-app-router-patterns,DEV ENGINEERING,Frontend Framework,"Master Next.js 14+ App Router with Server Components, streaming, parallel routes, and advanced data fetching. Use when b",,,,,
41,premium-frontend-ui,DEV ENGINEERING,Frontend Framework,"'A comprehensive guide for GitHub Copilot to craft immersive, high-performance web experiences with advanced motion, typ",,,,,
42,react-modernization,DEV ENGINEERING,Frontend Framework,"Upgrade React applications to latest versions, migrate from class components to hooks, and adopt concurrent features. Us",,,,,
43,react-native-architecture,DEV ENGINEERING,Frontend Framework,"Build production React Native apps with Expo, navigation, native modules, offline sync, and cross-platform patterns. Use",,,,,
44,react-native-design,DEV ENGINEERING,Frontend Framework,"Master React Native styling, navigation, and Reanimated animations for cross-platform mobile development. Use when build",,,,,
45,react-state-management,DEV ENGINEERING,Frontend Framework,"Master modern React state management with Redux Toolkit, Zustand, Jotai, and React Query. Use when setting up global sta",,,,,
46,shadcn,DEV ENGINEERING,Frontend Framework,"Manages shadcn components and projects — adding, searching, fixing, debugging, styling, and composing UI. Provides proje",,,,,
47,vue-best-practices,DEV ENGINEERING,Frontend Framework,MUST be used for Vue.js tasks. Strongly recommends Composition API with `<script setup>` and TypeScript as the standard ,,,,,
48,vue-debug-guides,DEV ENGINEERING,Frontend Framework,"Vue 3 debugging and error handling for runtime errors, warnings, async failures, and SSR/hydration issues. Use when diag",,,,,
49,vue-jsx-best-practices,DEV ENGINEERING,Frontend Framework,"JSX syntax in Vue (e.g., class vs className, JSX plugin config).",,,,,
50,vue-options-api-best-practices,DEV ENGINEERING,Frontend Framework,"Vue 3 Options API style (data(), methods, this context). Each reference shows Options API solution only.",,,,,
51,vue-pinia-best-practices,DEV ENGINEERING,Frontend Framework,"Pinia stores, state management patterns, store setup, and reactivity with stores.",,,,,
52,vue-router-best-practices,DEV ENGINEERING,Frontend Framework,"Vue Router 4 patterns, navigation guards, route params, and route-component lifecycle interactions.",,,,,
53,web-coder,DEV ENGINEERING,Frontend Framework,"'Expert 10x engineer with comprehensive knowledge of web development, internet protocols, and web standards. Use when wo",,,,,
54,web-component-design,DEV ENGINEERING,Frontend Framework,"Master React, Vue, and Svelte component patterns including CSS-in-JS, composition strategies, and reusable component arc",,,,,
55,async-python-patterns,DEV ENGINEERING,Linguaggi & Pattern,"Master Python asyncio, concurrent programming, and async/await patterns for high-performance applications. Use when buil",,,,,
56,auth-implementation-patterns,DEV ENGINEERING,Linguaggi & Pattern,"Master authentication and authorization patterns including JWT, OAuth2, session management, and RBAC to build secure, sc",,,,,
57,better-auth-security-best-practices,DEV ENGINEERING,Linguaggi & Pattern,"Configure rate limiting, manage auth secrets, set up CSRF protection, define trusted origins, secure sessions and cookie",,,,,
58,cloud-design-patterns,DEV ENGINEERING,Linguaggi & Pattern,"'Cloud design patterns for distributed systems architecture covering 42 industry-standard patterns across reliability, p",,,,,
59,csharp-async,DEV ENGINEERING,Linguaggi & Pattern,'Get best practices for C# async programming',,,,,
60,error-handling-patterns,DEV ENGINEERING,Linguaggi & Pattern,"Master error handling patterns across languages including exceptions, Result types, error propagation, and graceful degr",,,,,
61,go-concurrency-patterns,DEV ENGINEERING,Linguaggi & Pattern,"Master Go concurrency with goroutines, channels, sync primitives, and context. Use when building concurrent Go applicati",,,,,
62,memory-safety-patterns,DEV ENGINEERING,Linguaggi & Pattern,"Implement memory-safe programming with RAII, ownership, smart pointers, and resource management across Rust, C++, and C.",,,,,
63,modern-javascript-patterns,DEV ENGINEERING,Linguaggi & Pattern,"Master ES6+ features including async/await, destructuring, spread operators, arrow functions, promises, modules, iterato",,,,,
64,python-anti-patterns,DEV ENGINEERING,Linguaggi & Pattern,"Use this skill when reviewing Python code for common anti-patterns to avoid. Use as a checklist when reviewing code, bef",,,,,
65,python-background-jobs,DEV ENGINEERING,Linguaggi & Pattern,"Python background job patterns including task queues, workers, and event-driven architecture. Use when implementing asyn",,,,,
66,python-code-style,DEV ENGINEERING,Linguaggi & Pattern,"Python code style, linting, formatting, naming conventions, and documentation standards. Use when writing new code, revi",,,,,
67,python-configuration,DEV ENGINEERING,Linguaggi & Pattern,"Python configuration management via environment variables and typed settings. Use when externalizing config, setting up ",,,,,
68,python-design-patterns,DEV ENGINEERING,Linguaggi & Pattern,"Python design patterns including KISS, Separation of Concerns, Single Responsibility, and composition over inheritance. ",,,,,
69,python-error-handling,DEV ENGINEERING,Linguaggi & Pattern,"Python error handling patterns including input validation, exception hierarchies, and partial failure handling. Use when",,,,,
70,python-observability,DEV ENGINEERING,Linguaggi & Pattern,"Python observability patterns including structured logging, metrics, and distributed tracing. Use when adding logging, i",,,,,
71,python-packaging,DEV ENGINEERING,Linguaggi & Pattern,"Create distributable Python packages with proper project structure, setup.py/pyproject.toml, and publishing to PyPI. Use",,,,,
72,python-performance-optimization,DEV ENGINEERING,Linguaggi & Pattern,"Profile and optimize Python code using cProfile, memory profilers, and performance best practices. Use when debugging sl",,,,,
73,python-project-structure,DEV ENGINEERING,Linguaggi & Pattern,"Python project organization, module architecture, and public API design. Use when setting up new projects, organizing mo",,,,,
74,python-pypi-package-builder,DEV ENGINEERING,Linguaggi & Pattern,"'End-to-end skill for building, testing, linting, versioning, and publishing a production-grade Python library to PyPI. ",,,,,
75,python-resilience,DEV ENGINEERING,Linguaggi & Pattern,"Python resilience patterns including automatic retries, exponential backoff, timeouts, and fault-tolerant decorators. Us",,,,,
76,python-resource-management,DEV ENGINEERING,Linguaggi & Pattern,"Python resource management with context managers, cleanup patterns, and streaming. Use when managing connections, file h",,,,,
77,python-type-safety,DEV ENGINEERING,Linguaggi & Pattern,"Python type safety with type hints, generics, protocols, and strict type checking. Use when adding type annotations, imp",,,,,
78,rust-async-patterns,DEV ENGINEERING,Linguaggi & Pattern,"Master Rust async programming with Tokio, async traits, error handling, and concurrent patterns. Use when building async",,,,,
79,typescript-advanced-types,DEV ENGINEERING,Linguaggi & Pattern,"Master TypeScript's advanced type system including generics, conditional types, mapped types, template literals, and uti",,,,,
80,csharp-mcp-server-generator,DEV ENGINEERING,MCP Server Gen,"'Generate a complete MCP server project in C# with tools, prompts, and proper configuration'",,,,,
81,go-mcp-server-generator,DEV ENGINEERING,MCP Server Gen,"'Generate a complete Go MCP server project with proper structure, dependencies, and implementation using the official gi",,,,,
82,java-mcp-server-generator,DEV ENGINEERING,MCP Server Gen,'Generate a complete Model Context Protocol server project in Java using the official MCP Java SDK with reactive streams,,,,,
83,kotlin-mcp-server-generator,DEV ENGINEERING,MCP Server Gen,"'Generate a complete Kotlin MCP server project with proper structure, dependencies, and implementation using the officia",,,,,
84,mcp-builder,DEV ENGINEERING,MCP Server Gen,Guide for creating high-quality MCP (Model Context Protocol) servers that enable LLMs to interact with external services,,,,,
85,mcp-cli,DEV ENGINEERING,MCP Server Gen,"Interface for MCP (Model Context Protocol) servers via CLI. Use when you need to interact with external tools, APIs, or ",,,,,
86,mcp-copilot-studio-server-generator,DEV ENGINEERING,MCP Server Gen,'Generate a complete MCP server implementation optimized for Copilot Studio integration with proper schema constraints a,,,,,
87,mcp-security-audit,DEV ENGINEERING,MCP Server Gen,|,,,,,
88,php-mcp-server-generator,DEV ENGINEERING,MCP Server Gen,"'Generate a complete PHP Model Context Protocol server project with tools, resources, prompts, and tests using the offic",,,,,
89,python-mcp-server-generator,DEV ENGINEERING,MCP Server Gen,"'Generate a complete MCP server project in Python with tools, resources, and proper configuration'",,,,,
90,ruby-mcp-server-generator,DEV ENGINEERING,MCP Server Gen,Code review for #{language} with focus on #{focus},,,,,
91,rust-mcp-server-generator,DEV ENGINEERING,MCP Server Gen,"'Generate a complete Rust Model Context Protocol server project with tools, prompts, resources, and tests using the offi",,,,,
92,swift-mcp-server-generator,DEV ENGINEERING,MCP Server Gen,Generate a greeting message,,,,,
93,typescript-mcp-server-generator,DEV ENGINEERING,MCP Server Gen,"'Generate a complete MCP server project in TypeScript with tools, resources, and proper configuration'",,,,,
94,angular-migration,DEV ENGINEERING,Migrazioni,"Migrate from AngularJS to Angular using hybrid mode, incremental component rewriting, and dependency injection updates. ",,,,,
95,database-migration,DEV ENGINEERING,Migrazioni,"Execute database migrations across ORMs and platforms with zero-downtime strategies, data transformation, and rollback p",,,,,
96,dependency-upgrade,DEV ENGINEERING,Migrazioni,"Manage major dependency version upgrades with compatibility analysis, staged rollout, and comprehensive testing. Use whe",,,,,
97,dotnet-upgrade,DEV ENGINEERING,Migrazioni,'Ready-to-use prompts for comprehensive .NET framework upgrade analysis and execution',,,,,
98,react-audit-grep-patterns,DEV ENGINEERING,Migrazioni,"'Provides the complete, verified grep scan command library for auditing React codebases before a React 18.3.1 or React 1",,,,,
99,react18-batching-patterns,DEV ENGINEERING,Migrazioni,'Provides exact patterns for diagnosing and fixing automatic batching regressions in React 18 class components. Use this,,,,,
100,react18-dep-compatibility,DEV ENGINEERING,Migrazioni,'React 18.3.1 and React 19 dependency compatibility matrix.',,,,,
101,react18-enzyme-to-rtl,DEV ENGINEERING,Migrazioni,'Provides exact Enzyme → React Testing Library migration patterns for React 18 upgrades. Use this skill whenever Enzyme ,,,,,
102,react18-legacy-context,DEV ENGINEERING,Migrazioni,"'Provides the complete migration pattern for React legacy context API (contextTypes, childContextTypes, getChildContext)",,,,,
103,react18-lifecycle-patterns,DEV ENGINEERING,Migrazioni,'Provides exact before/after migration patterns for the three unsafe class component lifecycle methods - componentWillMo,,,,,
104,react18-string-refs,DEV ENGINEERING,Migrazioni,"'Provides exact migration patterns for React string refs (ref=""name"" + this.refs.name) to React.createRef() in class com",,,,,
105,react19-concurrent-patterns,DEV ENGINEERING,Migrazioni,"'Preserve React 18 concurrent patterns and adopt React 19 APIs (useTransition, useDeferredValue, Suspense, use(), useOpt",,,,,
106,react19-source-patterns,DEV ENGINEERING,Migrazioni,"'Reference for React 19 source-file migration patterns, including API changes, ref handling, and context updates.'",,,,,
107,react19-test-patterns,DEV ENGINEERING,Migrazioni,"'Provides before/after patterns for migrating test files to React 19 compatibility, including act() imports, Simulate re",,,,,
108,bazel-build-optimization,DEV ENGINEERING,Monorepo & Build,"Optimize Bazel builds for large-scale monorepos. Use when configuring Bazel, implementing remote execution, or optimizin",,,,,
109,monorepo-management,DEV ENGINEERING,Monorepo & Build,"Master monorepo management with Turborepo, Nx, and pnpm workspaces to build efficient, scalable multi-package repositori",,,,,
110,multi-stage-dockerfile,DEV ENGINEERING,Monorepo & Build,'Create optimized multi-stage Dockerfiles for any language or framework',,,,,
111,nx-workspace-patterns,DEV ENGINEERING,Monorepo & Build,"Configure and optimize Nx monorepo workspaces. Use when setting up Nx, configuring project boundaries, optimizing build ",,,,,
112,turborepo,DEV ENGINEERING,Monorepo & Build,|,,,,,
113,turborepo-caching,DEV ENGINEERING,Monorepo & Build,"Configure Turborepo for efficient monorepo builds with local and remote caching. Use when setting up Turborepo, optimizi",,,,,
114,containerize-aspnet-framework,SYSTEMS & OPS,Deploy,'Containerize an ASP.NET .NET Framework project by creating Dockerfile and .dockerfile files customized for the project.,,,,,
115,containerize-aspnetcore,SYSTEMS & OPS,Deploy,'Containerize an ASP.NET Core project by creating Dockerfile and .dockerfile files customized for the project.',,,,,
116,deploy-to-vercel,SYSTEMS & OPS,Deploy,"Deploy applications and websites to Vercel. Use when the user requests deployment actions like ""deploy my app"", ""deploy ",,,,,
117,publish-to-pages,SYSTEMS & OPS,Deploy,"'Publish presentations and web content to GitHub Pages. Converts PPTX, PDF, HTML, or Google Slides to a live GitHub Page",,,,,
118,vercel-cli-with-tokens,SYSTEMS & OPS,Deploy,Deploy and manage projects on Vercel using token-based authentication. Use when working with Vercel CLI using access tok,,,,,
119,arch-linux-triage,SYSTEMS & OPS,Linux Distro,"'Triage and resolve Arch Linux issues with pacman, systemd, and rolling-release best practices.'",,,,,
120,centos-linux-triage,SYSTEMS & OPS,Linux Distro,"'Triage and resolve CentOS issues using RHEL-compatible tooling, SELinux-aware practices, and firewalld.'",,,,,
121,debian-linux-triage,SYSTEMS & OPS,Linux Distro,"'Triage and resolve Debian Linux issues with apt, systemd, and AppArmor-aware guidance.'",,,,,
122,fedora-linux-triage,SYSTEMS & OPS,Linux Distro,"'Triage and resolve Fedora issues with dnf, systemd, and SELinux-aware guidance.'",,,,,
123,geofeed-tuner,SYSTEMS & OPS,Networking,>,,,,,
124,bash-defensive-patterns,SYSTEMS & OPS,Scripting,"Master defensive Bash programming techniques for production-grade scripts. Use when writing robust shell scripts, CI/CD ",,,,,
125,bats-testing-patterns,SYSTEMS & OPS,Scripting,Master Bash Automated Testing System (Bats) for comprehensive shell script testing. Use when writing tests for shell scr,,,,,
126,shellcheck-configuration,SYSTEMS & OPS,Scripting,Master ShellCheck static analysis configuration and usage for shell script quality. Use when setting up linting infrastr,,,,,
127,uv-package-manager,SYSTEMS & OPS,Scripting,"Master the uv package manager for fast Python dependency management, virtual environments, and modern Python project wor",,,,,
128,employment-contract-templates,BUSINESS & FINANCE,Legal/HR,"Create employment contracts, offer letters, and HR policy documents following legal best practices. Use when drafting em",,,,,
129,internal-comms,BUSINESS & FINANCE,Legal/HR,"A set of resources to help me write all kinds of internal communications, using the formats that my company likes to use",,,,,
130,team-composition-analysis,BUSINESS & FINANCE,Startup,"Design optimal team structures, hiring plans, compensation strategies, and equity allocation for early-stage startups fr",,,,,
131,remember-interactive-programming,CRAFT AGENT META,Altro,'A micro-prompt that reminds the agent that it is an interactive programmer. Works great in Clojure when Copilot has acc,,,,,
132,skillsmp-checker,CRAFT AGENT META,Altro,"Verifica e confronta skill locali con SkillsMP.com. Usa i tools del source skillsmp per cercare skill aggiornate, confro",,,,,
133,from-the-other-side-vega,CRAFT AGENT META,Memory & Handoff,"'Patterns and lived experience from Vega, an AI partner in a deep long-term partnership. For Ember to draw on when worki",,,,,
134,memory-merger,CRAFT AGENT META,Memory & Handoff,'Merges mature lessons from a domain memory file into its instruction file. Syntax: `/memory-merger >domain [scope]` whe,,,,,
135,remember,CRAFT AGENT META,Memory & Handoff,'Transforms lessons learned into domain-organized memory instructions (global or workspace). Syntax: `/remember [>domain,,,,,
136,dispatching-parallel-agents,CRAFT AGENT META,Multi-Agent,Use when facing 2+ independent tasks that can be worked on without shared state or sequential dependencies,,,,,
137,parallel-feature-development,CRAFT AGENT META,Multi-Agent,"Coordinate parallel feature development with file ownership strategies, conflict avoidance rules, and integration patter",,,,,
138,structured-autonomy-generate,CRAFT AGENT META,Multi-Agent,'Structured Autonomy Implementation Generator Prompt',,,,,
139,structured-autonomy-implement,CRAFT AGENT META,Multi-Agent,'Structured Autonomy Implementation Prompt',,,,,
140,structured-autonomy-plan,CRAFT AGENT META,Multi-Agent,'Structured Autonomy Planning Prompt',,,,,
141,subagent-driven-development,CRAFT AGENT META,Multi-Agent,Use when executing implementation plans with independent tasks in the current session,,,,,
142,task-coordination-strategies,CRAFT AGENT META,Multi-Agent,"Decompose complex tasks, design dependency graphs, and coordinate multi-agent work with proper task descriptions and wor",,,,,
143,team-communication-protocols,CRAFT AGENT META,Multi-Agent,"Structured messaging protocols for agent team communication including message type selection, plan approval, shutdown pr",,,,,
144,team-composition-patterns,CRAFT AGENT META,Multi-Agent,"Design optimal agent team compositions with sizing heuristics, preset configurations, and agent type selection. Use this",,,,,
145,copilot-instructions-blueprint-generator,CRAFT AGENT META,Prompt Engineering,'Technology-agnostic blueprint generator for creating comprehensive copilot-instructions.md files that guide GitHub Copi,,,,,
146,create-agentsmd,CRAFT AGENT META,Prompt Engineering,'Prompt for generating an AGENTS.md file for a repository',,,,,
147,finalize-agent-prompt,CRAFT AGENT META,Prompt Engineering,'Finalize prompt file using the role of an AI agent to polish the prompt for the end user.',,,,,
148,prompt-builder,CRAFT AGENT META,Prompt Engineering,"[Clear, concise description from requirements]",,,,,
149,evaluation-methodology,CRAFT AGENT META,Skill Management,"PluginEval quality methodology — dimensions, rubrics, statistical methods, and scoring formulas. Use this skill when und",,,,,
150,find-skills,CRAFT AGENT META,Skill Management,"Helps users discover and install agent skills when they ask questions like ""how do I do X"", ""find a skill for X"", ""is th",,,,,
151,make-skill-template,CRAFT AGENT META,Skill Management,"'Create new Agent Skills for GitHub Copilot from prompts or by duplicating this template. Use when asked to ""create a sk",,,,,
152,microsoft-skill-creator,CRAFT AGENT META,Skill Management,Create agent skills for Microsoft technologies using Learn MCP tools. Use when users want to create a skill that teaches,,,,,
153,skill-creator,CRAFT AGENT META,Skill Management,"Create new skills, modify and improve existing skills, and measure skill performance. Use when users want to create a sk",,,,,
154,skills-cli,CRAFT AGENT META,Skill Management,"Use when users ask to discover, install, list, check, update, remove, back up, restore, sync, or initialize Agent Skills",,,,,
155,suggest-awesome-github-copilot-agents,CRAFT AGENT META,Skill Management,'Suggest relevant GitHub Copilot Custom Agents files from the awesome-copilot repository based on current repository con,,,,,
156,suggest-awesome-github-copilot-instructions,CRAFT AGENT META,Skill Management,'Suggest relevant GitHub Copilot instruction files from the awesome-copilot repository based on current repository conte,,,,,
157,suggest-awesome-github-copilot-skills,CRAFT AGENT META,Skill Management,'Suggest relevant GitHub Copilot skills from the awesome-copilot repository based on current repository context and chat,,,,,
158,writing-skills,CRAFT AGENT META,Skill Management,"Use when creating new skills, editing existing skills, or verifying skills work before deployment",,,,,
159,code-review-excellence,CRAFT AGENT META,Verification,"Master effective code review practices to provide constructive feedback, catch bugs early, and foster knowledge sharing ",,,,,
160,doublecheck,CRAFT AGENT META,Verification,"'Three-layer verification pipeline for AI output. Extracts verifiable claims, finds supporting or contradicting sources ",,,,,
161,multi-reviewer-patterns,CRAFT AGENT META,Verification,"Coordinate parallel code reviews across multiple quality dimensions with finding deduplication, severity calibration, an",,,,,
162,parallel-debugging,CRAFT AGENT META,Verification,"Debug complex issues using competing hypotheses with parallel investigation, evidence collection, and root cause arbitra",,,,,
163,receiving-code-review,CRAFT AGENT META,Verification,"Use when receiving code review feedback, before implementing suggestions, especially if feedback seems unclear or techni",,,,,
164,requesting-code-review,CRAFT AGENT META,Verification,"Use when completing tasks, implementing major features, or before merging to verify work meets requirements",,,,,
165,review-and-refactor,CRAFT AGENT META,Verification,'Review and refactor code in your project according to defined instructions',,,,,
166,systematic-debugging,CRAFT AGENT META,Verification,"Use when encountering any bug, test failure, or unexpected behavior, before proposing fixes",,,,,
167,verification-before-completion,CRAFT AGENT META,Verification,"Use when about to claim work is complete, fixed, or passing, before committing or creating PRs - requires running verifi",,,,,
168,playwright-automation-fill-in-form,TESTING & QA,E2E & Browser,'Automate filling in a form using Playwright MCP',,,,,
169,playwright-explore-website,TESTING & QA,E2E & Browser,'Website exploration for testing using Playwright MCP',,,,,
170,playwright-generate-test,TESTING & QA,E2E & Browser,'Generate a Playwright test based on a scenario using Playwright MCP',,,,,
171,scoutqa-test,TESTING & QA,E2E & Browser,"'This skill should be used when the user asks to ""test this website"", ""run exploratory testing"", ""check for accessibilit",,,,,
172,webapp-testing,TESTING & QA,E2E & Browser,Toolkit for interacting with and testing local web applications using Playwright. Supports verifying frontend functional,,,,,
173,polyglot-test-agent,TESTING & QA,Polyglot/Specialized,"'Generates comprehensive, workable unit tests for any programming language using a multi-agent pipeline. Use when asked ",,,,,
174,quality-playbook,TESTING & QA,Quality,"Explore any codebase from scratch and generate six quality artifacts: a quality constitution (QUALITY.md), spec-traced f",,,,,
175,ruff-recursive-fix,TESTING & QA,Quality,"Run Ruff checks with optional scope and rule overrides, apply safe and unsafe autofixes iteratively, review each change,",,,,,
176,csharp-mstest,TESTING & QA,Testing Frameworks,"'Get best practices for MSTest 3.x/4.x unit testing, including modern assertion APIs and data-driven tests'",,,,,
177,csharp-nunit,TESTING & QA,Testing Frameworks,"'Get best practices for NUnit unit testing, including data-driven tests'",,,,,
178,csharp-tunit,TESTING & QA,Testing Frameworks,"'Get best practices for TUnit unit testing, including data-driven tests'",,,,,
179,csharp-xunit,TESTING & QA,Testing Frameworks,"'Get best practices for XUnit unit testing, including data-driven tests'",,,,,
180,java-junit,TESTING & QA,Testing Frameworks,"'Get best practices for JUnit 5 unit testing, including data-driven tests'",,,,,
181,javascript-testing-patterns,TESTING & QA,Testing Frameworks,"Implement comprehensive testing strategies using Jest, Vitest, and Testing Library for unit tests, integration tests, an",,,,,
182,javascript-typescript-jest,TESTING & QA,Testing Frameworks,"'Best practices for writing JavaScript/TypeScript tests using Jest, including mocking strategies, test structure, and co",,,,,
183,pytest-coverage,TESTING & QA,Testing Frameworks,"'Run pytest tests with coverage, discover lines missing coverage, and increase coverage to 100%.'",,,,,
184,python-testing-patterns,TESTING & QA,Testing Frameworks,"Implement comprehensive testing strategies with pytest, fixtures, mocking, and test-driven development. Use when writing",,,,,
185,spring-boot-testing,TESTING & QA,Testing Frameworks,Expert Spring Boot 4 testing specialist that selects the best Spring Boot testing techniques for your situation with Jun,,,,,
186,unit-test-vue-pinia,TESTING & QA,Testing Frameworks,'Write and review unit tests for Vue 3 + TypeScript + Vitest + Pinia codebases. Use when creating or updating tests for ,,,,,
187,vue-testing-best-practices,TESTING & QA,Testing Frameworks,"Use for Vue.js testing. Covers Vitest, Vue Test Utils, component testing, mocking, testing patterns, and Playwright for ",,,,,
188,better-auth-best-practices,SPECIALIZED,Better Auth,"Configure Better Auth server and client, set up database adapters, manage sessions, add plugins, and handle environment ",,,,,
189,create-auth-skill,SPECIALIZED,Better Auth,"Scaffold and implement authentication in TypeScript/JavaScript apps using Better Auth. Detect frameworks, configure data",,,,,
190,email-and-password-best-practices,SPECIALIZED,Better Auth,"Configure email verification, implement password reset flows, set password policies, and customise hashing algorithms fo",,,,,
191,organization-best-practices,SPECIALIZED,Better Auth,"Configure multi-tenant organizations, manage members and invitations, define custom roles and permissions, set up teams,",,,,,
192,two-factor-authentication-best-practices,SPECIALIZED,Better Auth,"Configure TOTP authenticator apps, send OTP codes via email/SMS, manage backup codes, handle trusted devices, and implem",,,,,
193,convex-create-component,SPECIALIZED,Convex,"Designs and builds Convex components with isolated tables, clear boundaries, and app-facing wrappers. Use this skill whe",,,,,
194,convex-migration-helper,SPECIALIZED,Convex,Plans and executes safe Convex schema and data migrations using the widen-migrate-narrow workflow and the @convex-dev/mi,,,,,
195,convex-performance-audit,SPECIALIZED,Convex,"Audits and optimizes Convex application performance across hot-path reads, write contention, subscription cost, and func",,,,,
